P: Posição do elemento na série
V: Valor do elemento na posição
TR: Tempo de cálculo da posição no método Recursivo
TI: Tempo de cálculo da posição no método Iterativo

P	V	TR	TI

0	0	0,0	0,0
1	1	0,0	0,0
2	1	0,0	0,0
3	2	0,0	0,0
4	3	0,0	0,0
5	5	0,0	0,0
6	8	0,0	0,0
7	13	0,0	0,0
8	21	0,0	0,0
9	34	0,0	0,0
10	55	0,0	0,0
11	89	0,0	0,0
12	144	0,0	0,0
13	233	0,0	0,0
14	377	0,0	0,0
15	610	0,0	0,0
16	987	0,0	0,0
17	1597	0,0	0,0
18	2584	0,0	0,0
19	4181	0,015627145767211914	0,0
20	6765	0,0015056133270263672	0,0
21	10946	0,0	0,0
22	17711	0,015623331069946289	0,0
23	28657	0,0	0,0
24	46368	0,03125190734863281	0,0
25	75025	0,031252384185791016	0,0
26	121393	0,0643002986907959	0,0
27	196418	0,09039735794067383	0,0
28	317811	0,15062999725341797	0,0
29	514229	0,26924920082092285	0,0
30	832040	0,3935890197753906	0,0
31	1346269	0,6241788864135742	0,0
32	2178309	1,0257594585418701	0,0
33	3524578	1,6647682189941406	0,0
34	5702887	2,5471737384796143	0,0
35	9227465	4,160143852233887	0,0
36	14930352	6,747460842132568	0,0
37	24157817	10,938403844833374	0,0
38	39088169	17,644551277160645	0,0
39	63245986	28,61817979812622	0,0
40	102334155	46,35163950920105	0,0
41	165580141	75,20498967170715	0,0
42	267914296	122,6508059501648	0,0
43	433494437	199,80011749267578	0,0
44	701408733	326,4820017814636	0,0
45	1134903170	542,7344071865082	0,0
